score_fotometria,score_orbital,score_estelar,score_falsos_positivos
0.9204473,0.81838065,0.95470953,0.7310094
0.8806964,0.83212596,0.9590867,0.7310094
0.07817376,0.1672417,0.1856072,0.5
0.7984247,0.78080225,0.23148784,0.7310094
0.9233279,0.810399,0.43934447,0.7310094
0.81640255,0.8156324,0.36521423,0.7310094
0.37429908,0.80778474,0.2682011,0.7310094
0.32473814,0.58118063,0.54865205,0.5
0.95397997,0.64549214,0.95392746,0.7310094
0.08516937,0.006136658,0.9437807,0.7310094
0.18786481,0.02292659,0.46948838,0.5
0.24985768,0.066515476,0.70560056,0.7310094
0.94829834,0.5608158,0.8743628,0.7310094
0.0017740028,0.16362503,0.43736425,0.5
0.41198257,0.76548773,0.5654917,0.5
0.0028346463,0.11208199,0.38825327,0.5
0.88900477,0.735127,0.46583936,0.5
0.94037354,0.765616,0.59335876,0.7310094
0.9157987,0.71068555,0.6410197,0.7310094
0.94716173,0.8051992,0.49969625,0.5
0.9469585,0.7964512,0.9502199,0.7310094
0.9118816,0.6040554,0.9441,0.7310094
0.7960666,0.4604327,0.9540779,0.7310094
0.054490294,0.19323483,0.94624203,0.5
0.6943131,0.8327093,0.95751816,0.7310094
0.7589593,0.8134992,0.35016054,0.7310094
0.9277495,0.7832423,0.37380886,0.7310094
0.54980713,0.2054123,0.19185068,0.5
0.00031285375,0.36508083,0.90248954,0.5
0.14022703,0.8489907,0.40245894,0.5
0.9262747,0.84206873,0.95401436,0.7310094
0.9554353,0.82721794,0.9538285,0.7310094
0.94342697,0.78985274,0.94867754,0.7310094
0.7800566,0.8370622,0.5005699,0.7310094
0.9581422,0.8452416,0.581655,0.7310094
0.8410256,0.7668063,0.563826,0.7310094
0.29574427,0.16341954,0.9362147,0.7310094
0.4964812,0.8008346,0.2952527,0.5
0.9206142,0.81009483,0.351688,0.7310094
0.4473155,0.22526105,0.46276543,0.5
0.7589744,0.29042226,0.91531634,0.7310094
0.92036927,0.8308864,0.42682523,0.7310094
0.93415684,0.80713695,0.58601344,0.7310094
0.8831186,0.6485498,0.32761633,0.7310094
0.7025025,0.12811874,0.9230904,0.7310094
0.31990066,0.8505021,0.5205463,0.5
0.92456216,0.80535537,0.3326384,0.7310094
0.9322716,0.77477145,0.9394148,0.7310094
0.6332037,0.5986481,0.95486635,0.7310094
0.8903102,0.8397578,0.50920355,0.7310094
0.7002873,0.5526038,0.8988411,0.7310094
0.7024441,0.6224507,0.9205061,0.7310094
0.7266546,0.15581572,0.41965795,0.5
0.9332314,0.83156,0.9034336,0.7310094
0.9278465,0.82161605,0.901462,0.7310094
0.92164963,0.7824958,0.9017813,0.7310094
0.8128604,0.17074473,0.33875406,0.7310094
0.58080995,0.7458908,0.7953046,0.7310094
0.7796897,0.17213462,0.5325576,0.5
0.93423176,0.68134606,0.9291379,0.7310094
0.81190014,0.8042452,0.72604257,0.7310094
0.9345689,0.5672211,0.44040698,0.7310094
0.8683986,0.5977838,0.4130283,0.7310094
0.94212186,0.8471534,0.8963952,0.7310094
0.80897635,0.57964355,0.89672446,0.7310094
0.70244676,0.83893687,0.4566474,0.7310094
0.7141447,0.7867475,0.8817167,0.7310094
0.25044551,0.8095308,0.27328646,0.5
0.18434182,0.56898606,0.17182906,0.5
0.95230573,0.7677995,0.22661443,0.7310094
0.95578414,0.8159396,0.42830828,0.7310094
0.15381657,0.7354195,0.3721779,0.5000004
0.9458746,0.8160258,0.5288264,0.7310094
0.89784193,0.7921396,0.54535824,0.7310094
0.84263235,0.56575453,0.4305878,0.7310094
0.17034581,0.47958356,0.5966124,0.5
0.24553704,0.8253912,0.42668232,0.5
0.9229109,0.7946627,0.921467,0.7310094
0.7127618,0.77840835,0.45118293,0.7310094
0.07951048,0.16870064,0.087295495,0.5
0.8870514,0.73232394,0.8564842,0.7310094
0.9337107,0.8246028,0.8536901,0.7310094
0.6784264,0.65971833,0.889401,0.7310094
0.56176466,0.59701437,0.8547067,0.7310094
0.7811162,0.16387388,0.33339983,0.7310094
0.92004794,0.8341676,0.49651194,0.7310094
0.9034238,0.16396897,0.86556596,0.7310094
0.062030327,0.6098451,0.42988354,0.5
0.94881326,0.82343763,0.4347388,0.7310094
0.77741545,0.32090253,0.50888395,0.5
0.8688851,0.76895946,0.89433753,0.7310094
0.5669694,0.5053163,0.88738835,0.7310094
0.8609729,0.5572548,0.89624745,0.7310094
0.82907766,0.6699369,0.9154511,0.7310094
0.20164602,0.7890908,0.1885822,0.5
0.94829285,0.80848974,0.30303273,0.5
0.45533592,0.14594074,0.16481048,0.7310094
0.95012283,0.74736327,0.46320912,0.7310094
0.94597805,0.83363974,0.60704863,0.7310094
0.8989012,0.71616644,0.81466913,0.7310094
0.19412269,0.7165801,0.264441,0.5
0.952731,0.835805,0.9561175,0.7310094
0.92774117,0.6194664,0.9557292,0.7310094
0.59546757,0.64138114,0.95113,0.7310094
0.6139712,0.81822443,0.9557553,0.7310094
0.39246947,0.09317887,0.93553966,0.7310094
0.9079968,0.7459385,0.45232978,0.7310094
0.8835809,0.8474601,0.8393769,0.7310094
0.43482774,0.6197797,0.8426519,0.7310094
0.87039244,0.8012306,0.8332531,0.7310094
0.009695452,0.13564113,0.4440891,0.5
0.34990704,0.73841786,0.50389314,0.5
0.9626578,0.61376166,0.97037065,0.7310094
0.9456994,0.8371726,0.51136744,0.7310094
0.40088952,0.17219214,0.42314333,0.5
0.4941178,0.6559238,0.955644,0.7310094
0.9431716,0.8302403,0.5598645,0.7310094
0.8483621,0.5959933,0.49263462,0.7310094
0.91048384,0.76797396,0.53427553,0.7310094
0.32873416,0.8145878,0.37939155,0.5
0.21415496,0.758551,0.2607529,0.5
0.42430773,0.16442119,0.47861737,0.7310094
0.73704004,0.7968781,0.9142675,0.7310094
0.5962127,0.48145434,0.964534,0.7310094
0.64884895,0.72764456,0.9160024,0.7310094
0.42881706,0.25724435,0.34183362,0.5
0.095252424,0.12183118,0.46125472,0.5
0.1567246,0.5604854,0.30970523,0.5
0.96452236,0.6799418,0.89210236,0.7310094
0.96194637,0.66933906,0.89831966,0.7310094
0.9421008,0.5964244,0.88231397,0.7310094
0.81182843,0.5649469,0.6729502,0.7310094
